FragID,Species,Tank,Treatment,Parent,T0,T1,T2,T3,T4,T5,T6,Tf,Origin,Transplant,NP0,R0,NPf,Rf,SA,AFDWg,BMgcm2,AFDWmg,BMmgcm2,GP0,GPf,t0GPSA,t0NPSA,t0RSA,tfGPSA,tfNPSA,tfRSA,BWT0,BWTf,dDryWt.g.d,x.d,g.cm2.d,mg.cm2.d
1343,PCOM,7,High,152,628,655,641,643,636,597,585,499,Inner Bay,Outer Bay,1.066872012,0.536245361,0.235614841,0.300331007,32.77513,,,,,1.603117373,0.535945848,0.048912617,0.032551267,0.01636135,0.016352211,0.00718883,0.009163381,8.232,8.443,0.042992167,0.228099043,0.001311731,1.311731395
1367,PCOM,3,Ambient,152,621,648,670,715,603,634,629,630,Inner Bay,Outer Bay,0.75466436,0.335548714,0.468217326,0.241575129,16.82518,,,,,1.090213074,0.709792455,0.064796518,0.044853271,0.019943247,0.042186322,0.02782837,0.014357952,5.082,5.167,0.018664181,0.160392572,0.001109301,1.109300525
1372,PCOM,2,Ambient,152,640,592,646,651,659,667,661,658,Inner Bay,Inner Bay,0.545113141,0.274266073,0.439030366,0.305255307,19.48633,,,,,0.819379214,0.744285673,0.042048924,0.027974131,0.014074794,0.038195272,0.022530172,0.0156651,5.06,5.244,0.041501968,0.35820212,0.002129799,2.129799095
1379,PCOM,6,High,152,606,629,627,643,615,606,584,585,Inner Bay,Inner Bay,1.921127966,0.719460934,0.764148564,0.404630456,48.87424,,,,,2.6405889,1.16877902,0.054028235,0.039307577,0.014720657,0.023914009,0.015634996,0.008279013,10.49,10.729,0.047678939,0.198505504,9.76E-04,0.975543333
1409,MCAP,8,High,51,619,600,604,613,588,608,534,598,Outer Bay,Outer Bay,1.137633302,0.570662438,0.302254625,0.657283652,76.67902,,,,,1.70829574,0.959538277,0.022278529,0.014836305,0.007442224,0.0125137,0.003941816,0.008571884,9.243,9.38,0.023176143,0.127167151,3.02E-04,0.302248816
1426,MCAP,4,Ambient,51,614,620,622,623,639,648,648,660,Outer Bay,Outer Bay,1.383561145,0.6051635,1.11868904,0.752146024,80.623,0.219105,0.002717649,219.105,2.71764881,1.988724645,1.870835064,0.024666964,0.017160874,0.00750609,0.023204731,0.013875557,0.009329174,6.876,7.03,0.02916103,0.215077606,3.62E-04,0.361696166
1454,MCAP,8,High,51,601,637,606,608,595,602,606,608,Outer Bay,Inner Bay,1.85408893,0.780249877,0.973668417,0.871509488,111.96,0.2089395,0.001866198,208.9395,1.866197749,2.634338807,1.845177905,0.023529286,0.01656028,0.006969006,0.016480689,0.008696574,0.007784115,11.833,12.08,0.048394787,0.207401627,4.32E-04,0.432250688
1455,MCAP,7,High,51,645,611,640,614,652,623,535,555,Outer Bay,Inner Bay,1.949236904,0.880468535,0.420447958,0.976482503,41.515,0.30996,0.007466217,309.96,7.46621703,2.829705439,1.396930461,0.068161037,0.046952593,0.021208444,0.033648813,0.010127616,0.023521197,14.698,14.997,0.053407284,0.184284576,0.001286458,1.286457521
1475,MCAP,8,High,51,562,609,587,585,615,579,548,546,Outer Bay,Inner Bay,0.897650798,0.46180821,0.168556045,0.449688164,55.45084,,,,,1.359459008,0.618244209,0.024516473,0.016188227,0.008328246,0.011149411,0.003039738,0.008109673,6.132,6.15,0.001339028,0.011073814,2.41E-05,0.02414802
1483,PCOM,8,High,60,608,627,565,628,606,619,597,585,Outer Bay,Inner Bay,1.635597669,0.697652494,0.701655882,0.442232777,41.64337,,,,,2.333250163,1.143888659,0.056029331,0.039276304,0.016753027,0.027468686,0.016849162,0.010619524,11.482,11.706,0.049501069,0.188274831,0.00118869,1.188690277
1489,PCOM,3,Ambient,60,609,620,640,639,643,646,637,634,Outer Bay,Outer Bay,1.041442992,0.623687906,1.063047075,0.561502907,47.21992,,,,,1.665130898,1.624549982,0.035263315,0.022055162,0.013208153,0.034403912,0.022512683,0.01189123,8.722,9.115,0.088578465,0.443529027,0.001875871,1.875870713
1508,PCOM,7,High,60,641,585,643,620,623,575,535,581,Outer Bay,Outer Bay,1.405835007,0.519053977,0.417119989,0.260202682,39.975,0.228384,0.005713171,228.384,5.713170732,1.924888984,0.677322671,0.04815232,0.035167855,0.012984465,0.016943657,0.010434521,0.006509135,10.195,10.307,0.019336865,0.082839974,4.84E-04,0.483723952
1559,PCOM,6,High,60,617,554,611,629,644,617,609,593,Outer Bay,Inner Bay,0.744641226,0.360231858,0.322307719,0.243204413,15.41494,,,,,1.104873084,0.565512132,0.071675471,0.048306463,0.023369008,0.036685977,0.020908788,0.015777188,9.192,9.254,0.008358241,0.039713918,5.42E-04,0.542216901
1590,PCOM,1,Ambient,48,634,657,677,659,654,649,640,648,Outer Bay,Outer Bay,0.66045702,0.418057839,0.575052105,0.305350231,27.653,0.15534,0.005617474,155.34,5.617473692,1.078514859,0.880402336,0.039001731,0.023883738,0.015117992,0.031837498,0.020795288,0.01104221,5.64,5.765,0.027192466,0.210571281,9.83E-04,0.983345966
1609,PCOM,7,High,48,600,625,599,614,621,563,550,524,Outer Bay,Inner Bay,0.529974377,0.272990405,0.199348258,0.162620149,22.774,0.1454175,0.006385242,145.4175,6.385241943,0.802964782,0.361968407,0.03525796,0.023271027,0.011986933,0.015893932,0.008753327,0.007140605,4.375,4.514,0.029052033,0.2900245,0.001275667,1.275666681
1614,PCOM,4,Ambient,48,601,627,621,619,636,640,628,641,Outer Bay,Inner Bay,0.752966568,0.530584598,0.513038661,0.317978565,39.525,0.244224,0.006178975,244.224,6.178975332,1.283551166,0.831017226,0.032474413,0.019050388,0.013424025,0.021025104,0.012980105,0.008044998,9.946,10.258,0.06870434,0.301679428,0.00173825,1.738250221
1632,PCOM,5,High,48,642,664,632,640,638,558,556,563,Outer Bay,Outer Bay,0.622694536,0.299020537,,,14.198,0.065718,0.00462868,65.718,4.628680096,0.921715073,,0.064918656,0.043857905,0.021060751,,,,4.742,4.812,0.013104079,0.120687281,9.23E-04,0.922952458
1642,PCOM,4,Ambient,156,592,623,624,623,615,624,632,652,Inner Bay,Inner Bay,0.878302314,0.66077067,0.617406631,0.378068877,24.89677,,,,,1.539072984,0.995475508,0.061818179,0.035277761,0.026540417,0.039984123,0.024798664,0.015185459,10.141,10.468,0.072001476,0.310078916,0.002892001,2.892000689
1669,PCOM,6,High,156,609,640,638,619,614,585,572,568,Inner Bay,Outer Bay,0.667257431,0.41412837,0.267429928,0.386390961,26.29345,,,,,1.081385801,0.653820889,0.041127574,0.025377325,0.015750248,0.024866303,0.010170971,0.014695331,7.238,7.316,0.013313559,0.080333872,5.06E-04,0.506345078
