Month,Date,Night,ColonyID,SiteOrigin,SiteTransplant,Live,Live_Dead,Spawn,BeginSpawn,EndSpawn,Tot.Repro.Vol.mL,Status,Notes
June,25-Jun-17,2,143A,13,4,LIVE,1,1,20:55,21:42,0.2,2,
June,26-Jun-17,3,143A,13,4,LIVE,1,1,NA,21:43,0.001,2,
June,27-Jun-17,4,143A,13,4,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,143A,13,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,143A,13,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,143A,13,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,143A,13,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,143A,13,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,143B,13,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,143B,13,13,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,143B,13,13,LIVE,1,1,21:00,21:10,0.002,2,
May,27-May-17,2,143B,13,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,143B,13,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,143B,13,13,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,143B,13,13,LIVE,1,1,20:54,22:06,0.2,2,
June,25-Jun-17,2,143B,13,13,LIVE,1,1,20:58,21:42,1,2,
June,26-Jun-17,3,143B,13,13,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,143B,13,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,143B,13,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,143B,13,13,LIVE,1,1,21:10,21:15,0.001,2,
July,24-Jul-17,2,143B,13,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,143B,13,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,143B,13,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,144A,13,4,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,144A,13,4,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,144A,13,4,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,144A,13,4,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,144A,13,4,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,144A,13,4,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,144A,13,4,LIVE,1,0,NA,NA,NA,1,
June,25-Jun-17,2,144A,13,4,LIVE,1,1,21:02,21:47,NA,2,
June,26-Jun-17,3,144A,13,4,LIVE,1,1,21:00,21:00,0.0004,2,
June,27-Jun-17,4,144A,13,4,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,144A,13,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,144A,13,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,144A,13,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,144A,13,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,144A,13,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,144B,13,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,144B,13,13,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,144B,13,13,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,144B,13,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,144B,13,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,144B,13,13,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,144B,13,13,LIVE,1,1,20:54,21:05,0.0024,2,
June,25-Jun-17,2,144B,13,13,LIVE,1,1,20:50,21:37,0.03,2,
June,26-Jun-17,3,144B,13,13,LIVE,1,1,20:53,21:20,0.5,2,
June,27-Jun-17,4,144B,13,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,144B,13,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,144B,13,13,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,144B,13,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,144B,13,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,144B,13,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,162A,4,4,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,162A,4,4,LIVE,1,1,21:18,21:33,0.1,2,
May,26-May-17,1,162A,4,4,LIVE,1,1,20:57,21:50,1,2,
May,27-May-17,2,162A,4,4,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,162A,4,4,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,162A,4,4,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,162A,4,4,LIVE,1,1,21:38,21:38,0.0002,2,
June,25-Jun-17,2,162A,4,4,LIVE,1,1,21:03,21:56,0.5,2,
June,26-Jun-17,3,162A,4,4,LIVE,1,1,21:41,21:43,0.002,2,
June,27-Jun-17,4,162A,4,4,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,162A,4,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,162A,4,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,162A,4,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,162A,4,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,162A,4,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,162B,4,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,162B,4,13,LIVE,1,1,20:50,21:50,2.5,2,
May,26-May-17,1,162B,4,13,LIVE,1,1,20:53,21:52,1,2,
May,27-May-17,2,162B,4,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,162B,4,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,162B,4,13,LIVE,1,1,20:55,21:55,2,2,
June,24-Jun-17,1,162B,4,13,LIVE,1,1,20:55,22:00,5,2,
June,25-Jun-17,2,162B,4,13,LIVE,1,0,NA,NA,NA,1,
June,26-Jun-17,3,162B,4,13,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,162B,4,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,162B,4,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,162B,4,13,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,162B,4,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,162B,4,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,162B,4,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,163A,4,4,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,163A,4,4,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,163A,4,4,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,163A,4,4,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,163A,4,4,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,163A,4,4,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,163A,4,4,LIVE,1,0,NA,NA,NA,1,
June,25-Jun-17,2,163A,4,4,LIVE,1,1,20:57,21:49,0.2,2,
June,26-Jun-17,3,163A,4,4,LIVE,1,1,20:50,21:10,0.1,2,
June,27-Jun-17,4,163A,4,4,LIVE,1,1,21:08,21:28,0.1,2,
July,22-Jul-17,0,163A,4,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,163A,4,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,163A,4,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,163A,4,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,163A,4,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,163B,4,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,163B,4,13,LIVE,1,0,NA,NA,NA,1,
