Parent,Destination,Origin,Timepoint,Species,AFDW,SA,BM,BWg.d,BWx,BWx.d,BWg.dSA,BWg.dAFDW,BWx.dSA,BWx.dAFDW,LE,NP,R,GP,GPSA,GPAFDW,NPSA,NPAFDW,RSA,RAFDW,P_RSA,P_RAFDW,F0,FM,Yield,PercentLipids,TotalLipids,PropLipids,Final.prey.SA,Extension,Angle,Simpson,PropSpawn,FitScore,Survival,FitScoreNoRepro
158,Outer Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.1,1159,592.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329.7,946.3,652.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.9,1066.9,628.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.7,979.4,644.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474.2,1314.2,639.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.3,1060.1,654.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.3,1227.6,617.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.3,1030.2,641.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.3,1224,651.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.1,1071.1,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.3,1347.3,633.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
